en,uz
He,u
She,u
ft,u
They,ular
What,"nima, qanday"
Who,kim
My,mening
Her,uning
Our,bizning
Their,ularning
Dog,"it, kuchuk (Doka) Kuchuk akkillayverganidaq og'zim doka bilan"
Bird,qush
Wolf,bo'ri
Goose,g'oz
Cow,sigir
Fox,tulki
rog,qurbaqa
Monkey,mavmun
Bread,non
Egg,tuxum
Mushroom,qo'ziqorin
oodles,lapsha
Tomato,pomidor
Nut,yong'oq
Fruii,meva
Apple,olma
Banana,banan
Cherry,oicha
Melon,qovun
Watermelon,tawuz
Lemon,limon
Pineapple,ananas
Sugar,shakar
Honey,asal
Jam,murabbo
Cake,tort
Sweet,qand
Ice-cream,mu4laymoq
Chocolate,shokolad
Water,suv
Soda,gadi suv
Wine,vino
Tea,choy
Coffee,qahva
Nlilk,sut
f Cream,krem
Yogurt,yogurt
Hi,salom
Hello,salom
lf Sorry,uzur
Please,iltimos
ivian,erkak
Woman,xotin
Child,bola
Boy,o'g'il boia
Girl,qiz bola
Guy,yigit
Friend,do'st
Acquaintance,tanish
Chief,boshliq
Boss,xo'jayin
Colleague,hamkasb
Family,oila
People,odamlar
Parenis,oia-ona
Father,ota
f Mother,ona
Husband,er
Wife,xotin
Son,o'g'il
Daughter,qiz
Brother,aka
Sister,opa
Grandlather,bobo
tr'ather-in-law,qaynota
Uncle,amaki
Grandmother,buvi
f Aunt,xola
Job,ish
Businessman,tadbirkor
Teacher,o'qituvchi
Driver,haydovchi
f Worker,ishchi
Engineer,muhandis; injenerga o'xsharsa bo'iaii
Doctor,shifokor
Lawyer,advokat
Journalist,jurnalist
Shop assistant,sofuvchi
Waiter,olisiant (girgitton)
Accountant,buxgalter
f Musician,musiqachi
Actor,aktyor
Student,talaba
Pupil,o'quvchi
City,shahar
House,uy (bino)
iiome,uy (yashaydigan joy)
Building,bino
Place,joy
Exit,chiqish
Center,markaz
Roof,tom
Viiiage,qishioq
f School,maktab
University,universitet
Theatre,teatr
Church,cberkov
Restaurant,restoran
Hotel,mehmonxona
Bank,bank
Cinema,kinoteatr
Hospital,shifoxona
Post ollice,pochta
Station,vokzal
Airport,aeroport
Pharmacy,dorixona
Office,ishxona
Company,kompaniya
Factory,fabrika
Square,xiyobon
Street,ko'cha
Road,yo'l
Stop,bekat
Garden,bog'
Park,park
Bridge,ko'prik (Kembrij) Kembrij univenitetiga ko'priklar orqali
River,daryo
Forest,o'rmon
Field,dala
Lake,ko'l
Sea,dengiz (Sil) Dengizda cho'milganlaming bari sil kasaliga
Ocean,okean
Beach,plyaj
Sand,qum
Garbage,axlat
Waste,qoldiq
Sione,tosh
Agree,rozi bo'lmoq
Allow,ruxsat bermoq
Buy,sotib olish
Call,qo'ng'iroq qilish
Can,"qo'lidan kelmoqt (Kema) Sizga shart qo'yishdi, chaqiruv"
Change,o-z€artirmoq
Come,kelmoq
Cook,pishirmoq
Falt,yiqilnoq
Find,topmoq
Fly,uchmoq
Follow,ergashmoq
Get,olmoq
Have,ega bo'lmoq
Hoid,ushiamoq
Know,bilmoq
May,mum kin
Mean,ma'no bildirmoq
Need,muhtoj bo'lmoq
Open,ochmoq
Pay,to'lamoq
Play,o'ynamoq
Sell,sotmoq
Send,jo-natmoq
sit,o'tirmoq
Speak,gapirmoq
Start,boshlamoq
Talk,gapirmoq
Tetl,aytib bermoq
Undersiand,tushunmoq
Use,ishlatmoq
Watch,qaramoq
Win,"(Vino) Vino ichish bo'yicha musobaqa bo'lyapti, siz"
Work,ishlamoq
Worry,xavotir olmoq
Answer,javob bermoq
Ask,so'ramoq
Believe,ishonmoq
Borrow,q ru olmoq
Copy,ko'chirmoq
Decide,yechmoq
Eat,yemoq
Finish,tugatmoq
Forget,esdan chiqarmoq
Give,bermoq
Go,bormoq
Happen,ro'y bermoq
Help,yordam bermoq
Keep,saqlamoq
Learn,o'rganrnoq
Like,yoqtirmoq
Look,qaramoq
Meet,uchratmoq
Must,"kerak (Mast) Bir mast odan yrg'lab baqmb o'tiribdi, menga"
Promise,va'da bermoq
Put,qo'ymoq
Remember,eslamoq
Say,aytmoq
see,ko'rmoq
should,kerak (Sho'x) Har bir kompaniyaga sho'x-sho'x insonlar
Show,ko'rsatmoq
Sleep,uxlamoq
Spend,sarflamoq
Study,o'rganmoq
Suggest,taklif qilmoq
Think,o'ylamoq
Turn,buriimoq
Wake up,uyg'onmoq
Walk,piyoda lurmoq
Awakr,xushyor
Bad,yomon
Bent,bukri
Bitter,achchiq
Blue,"ko'h, havorang"
Coiti,sovuq
Dark,"qorong'u, to'q"
Dead,o'iik (De d) Armiy-adagi de dlming qo'lida o'lik holda qochib
Dear,aziz
Dil'l'erent,har xil
Dirfy,kir
Dry,quruq
False,noto'g'ri
Feebie,zaif
Foolish,tentak
Future,kelajak (Futurikon) Futurikon filmida sizning
Late,kech
Left,chap
Ag Loose,erkin
Loud,baland
Low,past
Mixed,aralash
Narrow,tor
old,"qari, eski"
Opposite,qarama-qarshi
Short,kalta
Simple,oddiy
Slow,sekin
Small,kichik
Soft,yumshoq
Ag Solid,qattiq
Special,maxsus
Strange,notanish
Thin,o4'in
Wrong,"xato, noto'g'ri"
You are welcome,arzimaydi
Oven,pechka
Transport,iranspori
Plane,Samolyot
Note,"gayd, yozuv, eslatma, e'tibor bermoq"
Telephone,telefon
Temperature,harorat
Experience,tajriba
Keen,o'tkir
Jealous,"rashkchi, hasadgo'y"
Tact,andisha
Oath,"qasam, ont"
Ilardship,qiyinchilik (Xat ship) Qiyinchilikka tushib qolgan
Gallant,"jasur, muloyim"
Daia,ma'liimotlar
Bachetor,bo'ydoq
conceal,"berkitmoq, yashirmoq"
Dismal,"ma'Jrus, g'amgin, qayg'uti"
Frigid,"sovuq, ittifotsiz"
Inhabit,"yashamoq, istiqomat qilm oq"
Numb,"uvishgan, qotib qoigan"
Peril,"xavf, xatar, tahlika"
Recline,yonboshlamoq
Shriek,"baqirmoq, chiyiilamoq"
sinister,"dahshatli, mudhish"
Tgmpt,jalb etmoq
Wager,garov
Typical,odatiy
illinimum,"minimum, kamida"
Scarce,noyob
Annual,bir yilda bir marta bo'ladigan
Blend,"aralashtirmoq, 1s"
Visible,ko'zga ko'rinadigan
Beau,yigit o'rtoq
Devise,"o'yiab topmoq, ixtiro qilmoq"
Wholesale,ulgurji
Eiiminate,"to'qotmoq, fugatmoq (lltyuziya) Y,a'anglzga"
Villain,yovuz obraz
Ufilize,"foydalanmoq, qo'llanmoq"
Humid,nam
Theory,"nazaiya,qarash"
Descend,"pastga tushm oq, pasaymoq"
Circulate,"tarqatmoq, aylanmoq"
Enormous,ulkan
Vanish,"g'oyrb bo'imoq, yo'qoimoq"
QP Campus,uniyersitet maktabining asosiy binolari joylashgan
Ntajority,"katta qism, ko'pchitik (Mayor) Ko'plab askalar"
Assemble,"to'planmoq, yig'ilmoq"
Topic,mavzu
Debate,"muhokama, bahs"
Probe,"tergov, tekshirmoq"
Relbrm,"isloh qilmoq, yaxshilanmoq"
Deiect,"tieiekt, kamchiiik, nuqson"
Employee,"ishchi, hodim"
Neglect,"mensimay qaramoq, nazarga ilmaslik (Negr) Negr"
Thorough,"batafsil, to'liq"
Client,mijoz
Postpone,keyinga qoldirmoq
consent,rozi bo'lmoq
Flassive,juda katta
Capsule,kapsula
Preserve,"saqlamoq, ehtiyot qilmoq"
Denounce,"ma'lum qilmoq, ogoh qitib qo'ymoq"
Molest,"shilqimlik qilmoq, bezor qilmoq"
Gigomy,"iushkun, g'amgin"
Unforeseen,"kutilmagan, ko'zda tutilmagan"
Amateur,havaskor
Survive,"tirik qolmoq, omon qolmoq"
Pr-ominent,mashhun taniqli
Security,xavfsidik
Bulky,asosiy qism
Obvious,"aniq, ravsban"
Vicinify,yaqin-atrolida
Century,asr
Document,hujjat
Conclude,"tugailamoq, yakunlamoq"
Undeniable,"aniq, ravshan, shubhasiz, rad etilmas"
Resist,"qarshi tunnoq, qarshilik ko'rsatmoq"
Lack,"yetishmovchiir'k, kam"
Ignore,"e'tiborsiz qoldirmoq, rad etmoq"
Challenge,"chaqiriq, qiyinchitik (Chelak) Chelak sizga chaqrnq"
Miniature,miniatyura
Source,manba
Excel,"m'r bo'lmoq, yaxshi bo'lmoq"
Feminine,"ayollarga xos, nozik"
Mount,"ko'paymoq, tashkillashtirmoq, biror narsaning uchiga"
Compete,"kim o'zdi o'ynamoq, musobaqalashmoq"
Dread,"qo'rqinch, vahima, dahshat"
Masculine,mujskoy rod
Menace,"xavf-xatar, tahlika, tahdid, qo'rquv"
Yictorious,e'olib bo'lgan. g'olibona
f Numerous,"ko'plab, juda ko'p"
Flexible,"egiluvchan, moslashuvchan"
Evidence,dalil
Solitary,"yolg'iz, yakka"
Glimpse,"odamning sharpasi, ko'zi tushmoq, ko'rib qolmoq"
Recent,"yaqinda sodir bo'lgan, yaqinda, yaqindan beri"
Decarie,o'n yiiiik (Dekabr) Dekabr oyi endi har i0 yiida bir
Conllict,nizo
Minority,kamchilik (Minor metro) Minor
Fiction,"uydirma, lantastik asar"
Abolish,bekor qilmoq
Urban,shaharga xos
Frank,samimiy
Pollute,ifloslanmoq
urgeni,shoshiiinch
Decrease,kamaymoq
Audibie,e shitiiadigan; (Audis debit) Audio ftyflami eshitiladigan
tr'amine,"ochlik, yetishmovchilik (Family) Oila ochlikdan"
Commence,boshlamoq
Observant,xushyor
GIjS identify,"ianimoq, ianib oimoq"
Migrate,ko'chmoq
Persist,"o'jar, qaysar, davomli"
Hazy,"tumanli, mujmal"
Gleam,"nur, yaltiramoq; (Gilam) Gilamingiz yaltirab, nur"
Eriitor,muharrir
Unruly,"boshqarib bo'lmaydigan, tartibsiz"
Violent,"z)'ravon, mlim"
Brutal,shalQatsi4 berahm
Opponent,"raqib, qarshi chiquvchi"
Brawl,"janjal, janjal qilmoq"
Underdog,zaif kishi
Bewildered,"adashgan, chalg'igan"
Mature,"pishgan, yetilgan"
Pietige,"va'da, ahti"
Casual,"beparvo, sovuqqon"
Pursue,"ketidan quvmoq, ta'qib qilmoq"
Unanimous,hamfikr
Pioneer,"pioneer, kashshof"
Innovative,"innovativ, yangicha"
slender,"nozik, oz{'in, ingichka; (Silindr) Nozikkina silindr"
Surpass,"afzal bo'lmoq, oshib ketmoq"
Vast,"ulkan, juda yirik (Mast) Juda frik, ulkan mast odanlar"
f Doubt,shubha
Penetrate,"ichiga kirmoq, yo'l topmoq"
Pierce,"teshmoq, teshib o'tmoq"
Accurate,"aniq, to'g'ri"
Gratel'ul,minnatdor
Cautious,ehtiyotkor
Conlident,"dadil, o'ziga ishonadigan"
Appeal,"talab qilmoq, qiziqtirmoq, jalb qilmoq"
Addict,"kashanda, ....chalingan"
Wary,"ehiiyoikor, shubhaii"
Aware,"ogoh, biladigan, tushunadigan"
Misfortune,"baxtsidik, omadsidik (Fortune, Miss) Omad"
Avoid,"oldini olmoq, qochmoq"
Keg,kichkina bochka
Nourish,"boqmoq, ovqatlantirmoq"
iiarsh,"qo'poi, cho'rikesar"
Quantity,"hajm, miqdor"
Opt,"tanlamoq, qaror qilmoq"
Tragedy-,tragediya
Pedestrian,"piyoda, yayov yuruvchi"
Glance,"ko'z yugurtirmoq, nazar tashlamoq"
Nimble,"chaqqon, epchil, ildam"
Manipulate,"manipulyatsiya, mohirona"
Reckless,"mulohazasiz, o'ylamay ish qitadigan"
Horrid,"juda yoqimsiz, o'ta qo'pol"
Rave,"quturib gapirmoq, yorvoyi harakatlar qilmoq"
Economicai,iqtisodiy
Lubricate,moylamoq
lngenious,"zukko, aqlli"
Harvest,hosil
Abundant,"mo'l-ko'|, serob"
Uneasy,"xavotirli, tashvishli, hayajonli, noqulay"
Calculate,"hisoblamoq, hisoblab chiqarmoq"
Absorb,"so rmoq, shimmoq, singdirmoq"
Estimate,baholamoq
Morsel,"bir tishlam, kichkina bo'lak (Mars) Ikkita ho'kizdek"
Quota,kvota
Threat,"po'pisa, tahdid"
Ban,ta'qiqlamoq
Panic,"sarosima, vahima"
Appropriate,"mos, to'g'ri, muvofiq"
Emerge,"paydo bo'lmoq, chiqmoq"
Linger,"uzoq turib qolmoq, qolib ketmoq"
Ambush,pistirma
Deliant,"bo'ysunmaydigan, itoat etmaydigan"
Vigor,"kuch, quwat"
Perish,"o'lmoq, valbt etmoq, hatok bo'lmoq"
Fragile,"mo' rt, salga sinadigan"
Captive,"asir, bandi, tutqun"
Devour,"yamlamay yutmoq, yemoq"
Plea,"iltijo, yolvorish"
Weary,"charchagan, holdan toygan"
Collide,"shaxta, kon, to'qnash kelmoq"
Confirm,"tasdiqlamoq, ma'qullamoq, aniqlashtirmoq"
Anticipate,"oldindan ko'rmoq, oldindan his qilmoq ya unga"
Dilemma,dilemma (ikki mushkul imkoniyatdan birini
Detour,"aylanibo'tish,chetlabo'tish, kezibchiqish"
Merit,"obro', taqdirlashga loyiq xizmat"
Relieve,yengillashtirmoq
Warden,"nazoratchi, qamoqxona"
Acknowledge,"tan olmoq, bo'1niga olmoq"
Justice,adolat
Delinquent,"huquqbuzar, jinoyatcbi"
Reject,"ra'd, rad etmoq"
Deprive,"mahrum etish, yo'qotish"
Spouse,"turmush o'ftoq, rafiq(a)"
Vocaiion,"mayi, ishiiyoq, iayoqai, ish, kasb, hunar"
Unstable,"mahkamlanmagan, beqaror"
Homicide,qotillik (Ilomiy sayt) Mashhur sayt homiysi
Penalize,"jazolamoq, noqulay holatga solmoq"
Rareiy,kamdan-kam
Logical,mantiqiy
Exhibit,"ko'rsatmoq, namoyish qilmoq, elisponat"
Proceed,qaytadan boshlamoq
Precaution,ehtiyot(kortik)
Extract,"sug'irib olmoq, chiqarib olmoq, parcha, ko'chirma"
Prior,"oldin sodir bo'ladigan, ilgari bo'lib o'tadigan, oldingi"
Embrace,"quchoqlamoq, bag'riga olmoq"
t Valiant,"iasur, oo'romas"
Partial,"tugallanrnagan, qisqacha, qisqartirilgan"
Fierce,"yovua yirtqich, vahshiy"
Detest,juda yomon ko'rmoq
Sneer,"tirjaymoq, ishshaymoq"
Scowi,"xo'mraygan, g'azabiangan qiyofa"
Encourage,"ruhlantirmoq, qiziqtirmoq, rag'batlantirmoq"
Vermin,"zararkunanda, par^7it?(Vayoming) Vayoming shtatida"
Wail,"faryod, nola qilmoq"
Symbol,"ramz, belgi, ishora"
Authority,"hokimiyat organlari, vakolat, huquq"
Neutral,neytral
Trifle,arzimas narsa
Architect,arxitektor
Baggage,yuk Bagaj so'ziga ozgina o'xshaydi
Squander,"behuda sarflamoq, sovurmoq"
Abroad,xorij
Fugitive,qochoq
Calamity,"ofat, falokat, musibat"
Pauper,kambag'al
Envy,"hasad, ko'ra olmaslik"
Collapse,"qulamoq, buzilmoq, ag'darilmoq"
Prosecute,"ayblamoq, qoralamoq"
Bigamy,ikki xoiinli bo'iish
Compel,"majbur qilmoq, itoat ettirmoq"
Venture,tavakkal qilmoq
Awesome,"qo'rqinchli, dahshat, m'r"
Guide,giri
Quench,chanqoqni qondirmoq
Betray,"xiyonat qilmoq, ishonchni suiste'mol qilmoq"
Utter,"to'liq, mutlaqo, aytmoq, demoq"
Pacify,"tinchlantirmoq, yupatmoq"
i Respond,"javob bermoq, reaksiya ko'rsaimoq"
Beckon,jalb qilmoq
I Disrupt,"putur yetkaznoq, buzmoq"
Rash,"o'ylamasdan ish qiladigan, toshma"
Exhausi,hoirian toydirmoq
Severity,"qo'pollik, jiddiylik (Silver suv) Silver suv"
Unite,"birlashmoq, bir yoqadan bosh chiqarmoq"
Cease,"io'xfamoq, iugatmoq, barham bei'moq"
Thrifty,tejamkor
Miserly,xasis
Monarch,"podshoh yoki malika, monarxiya"
Outlaw,"qonun ta'qibidagi qochoq, noqonuniy ishni amalga"
Promoie,"iavozimini oshirmoq, darajasini ko'tarmoq"
Undernourished,to'yib ovqatlanmaslik (Under norin)
trlustrate,"misol keltirmoq, oydinlashtirmoq, tasvirlamoq"
Disclose,"oshkor qilmoq, fosh qitmoq"
Excessive,"mo'l-ko'I, serob"
Disaster,"olbt, balo, talokat, musibat, og-ir ahvol"
Censor,"sensor, senzuradan o'tkazmoq"
Culprit,"aybdor, gunohkor"
Juvenile,"balog'atga yetmagan bola, o'spirin"
Bait,"qannoqqa hayvonlarni tutish uchun qo'yilgan taom, biror"
Insist,qat'iyat
Toil,"qattiq mehnat qilmoq, surunkali ishlamoq"
Blunder,"ahmoqona xato, qdpol xato qilmoq"
Daze,ajablantirmoq
ivlourn,moiam qiimoq
Subside,"cho'kmoq, botmoq, pasaymoq"
Maim,nayib qilmoq
Compi'ebemd,"iushunmoq, angiamoq"
Commend,maqtamoq
Exempt,"ozod qilish, xalos etish"
Vain,"kekkaygan, shuhratparast"
Repetition,"repetitsiya, takrorlash"
Depict,"chizib bermoq, tasvirlab bermoq"
Mortal,o'ladigan
Occupant,"istiqomat qiluvchi, yashovchi"
Appoint,belgilamoq
Quarter,chorak
Siie,"o'rin, joy"
Quote,"sitata keltirmoq, dalil keltirmoq"
Verse,"she'r, she'r kupleti"
Morality,biror narsaning to'g'ri yoki noto'g'riligi
Roam,"darbadar kemroq, gandiraklab yurmoq"
Attract,jalb qilmoq
Commuter,yo'lovchi
Confine,"qamamoq, kichik joyda saqlamoq, cheklamoq"
ldle,"bo'sh, dangasa, ishyoqnas"
Idol,"but, sanam"
Patriotic,vatanparvar
Dispute,"qarshi chiqmoq, tortishmoq"
Valor,"iasorat, mardlik, qahramonlik"
Lunatic,"aqldan ozgan, jinni, devona"
Uneventful,"tinch, osuda"
Fertile,"serhosil, unumdor"
Refer,kimr_landir So'!'!!mog; biror nanani anglafmoq
Distress,"tushkunlik, mushkul ahvol"
Maximum,naksimum
Flee,"qochmoq, qochib qutilmoq"
Vulnerable,"zaif,oji4-himoyasiz"
Mythology,mifolosiva
I'orment,"amb, qattiq og-riq, amb bermoq"
Provide,ta'minlamoq
Loyalty,"sodiqlik, vafodorlik, sadoqat"
Voiunieer,"iaiabgor, ko'ngilli"
Prejudice,"xurofot, bid'at, zaiflashtirmoq"
Shrill,"qattiq, o'tkir (tovush)"
Witty,zukko
Hinder,xalaqit bermoq
Lecture,"ma'ruza, leksiya"
Abuse,"suiste'mol qilmoq, haqorat qilmoq, majburlamoq"
Mumble,"ming'illamoq, g'uldiramoq"
Mute,past (tovush)
Candidate,nommd
Radical,"ulkan,juda katta"
Spontaneous,"o'z-o'zidan paydo bo'iadigan, to'saidan"
Skim,"ajratib olmoq, ustidan silab o'tmoq"
Vaccinate,emlamoq
Untidy,tartibsi4 to'zg'igan
Utensil,"idish-tovoq, qozon-tovoq"
Temperate,mo'tadil
Vague,"noma'lum, noaniq, g'ira-shira"
Elevate,"ko'tarmoq, yuqori darajaga oshirmoq"
Lottery,lotoreya
Finance,"moliya, pullar"
Obtain,"qo'lga kiritmoq, ega bo'lmoq, erishmoq"
Discard,"uloqtirmoq, yaroqsizga chiqarmoq"
Soar,"uchmoq, parvoz qilmoq"
Subsequent,"keyingi, so'nggi, kelgusi"
Relate,"aloqador bo'lmoq, bog'liq"
Stationary,"ko'chmas, qo'4'almas, qimirlamaydigan"
Prompt,"undamoq, qo'zg'atmoq, majburlamoq"
Hasiy,"shoshiiinch, iez, shoshqaioq"
Scorch,"kuydirmoq, kuydirib olmoq"
Tempest,bo'ron
Soothe,"tinchiarriii'moq, yiipaimoq, oviltmoq, iaskirr beimoq"
Sympathetic,"achingan, hamdard"
f Redeem,"oqlamoq, pul to'lab qaytarib olmoq"
Resume,"qaytadan boshlamoq, davom ettirmoq"
f Harmony,"garmoniya, uyg'unlik Garmoniya so'ziga o'xshatsa"
Refrain,o'zini to'xtatmoq
Illegal,noqonuniy
i'r'arcotic,giyohvand moddaiar
Heir,merosxo'r
Majestic,"ulug'vor, hashamatli"
Dwindle,"kichraymoq, pasaymoq, qisqarmoq (Dulitl) Dulitllar-"
Surplus,"keragidan ortiq qism, ortiqcha"
Traitor,sotqin xiyonatkor
Deliberate,"maslahatlashmoq, muhokama qilmoq"
Vandal,"vandal, madaniyatsiz johil odam"
Drought,qurg'oqchilik (Raund) Mashhw bokschilar birinchi
Abidc,"chitiamoq, sabr qiimoq, bo'ysunmoq"
Unify,"birlashtirmoq, birlashmoq"
Summit,"cho'qqi, sammit, yig'ilish"
Heed,maslahatga quloq solmoq
Biography,biograliya
Drench,"shalabbo bo'lmoq, ho'l bo'lmoq"
Swarm,"gala, olamon, yopirilmoq"
Wobble,"likillatmoq, qimirlamoq"
Kneei,"tiz cho'kmoq, cho'kkalamoq"
Dejected,"xafa, ezilgan, g'amgin"
Obedient,"itoatkor, bo'ysunuvchan"
Recede,"y-o'qolmoq, ke imoq, uzoqlashmoq"
Tyrant,zolim
Charity,"xayriya tashkiloti, rahm-shalqat"
Verdict,"qaror, xulosa, yakuniy frkr"
Unearth,"yerdan kovlab olmoq, oshkor qilmoq"
Depart,"jo-namoq, jo'nab ketmoq, tark etmoq"
Coincide,"mos kelmoq, ayni bir vaqtda sodir bo'lmoq"
Cancel,"bekor qilmoq, yo'q qilmoq"
Dcbior,qarzdor
Legible,"tushunarli, aniq"
Placard,"plakat, a{isha"
Contagious,yuqumli
Customary,"odatdagi, odatiy, doim bo'ladigan"
Scald,kuydirib olmoq
Obesity,juda semidik (O besedka) O harfi shaklida besedka
lVlagnily,"kattalashtirmoq, bo'rttirib yubormoq"
Chiropractor,xiropraktor
Obstacle,to'siq
ventilate,"havo yangilamoq, havo afantirmoq"
Jeopardize,xar{ ostiga qo'ymoq
Pension,pensiya
Vital,"kerakli, muhim, zaruriy, serg'ayrat, jo'shqin"
Municipal,shaharga qarashli
Oral,og'zaki
Complacent,"o'zidan ko'ngli to'lmoq, o'ziga bino qo'ygan"
Wasp,qovoqari
Rehabiiitate,"oyoqqa iurg'izmoq, o'z holiga keltirmoq"
Parole,mahkumni yaxshi xulqi uchun muddatidan oldin ozod
Multitude,"juda ko'p, ko'pgina"
Nominate,nomzodlikka ko'r.satmoq
Potential,"potensial, yashirin, yuzaga chiqishi mumkin"
Morgue,morg
Preoccupied,"tashvishli, fikri-zikir band"
Upholstery,"jild, qoplama"
Indifference,"beparvolik, e'tiborsiditr, loqaydlik"
Snub,"hurmatsizlik qilmoq, iltilbtsidik ko'rsatmoq"
Endure,"chidamoq, sabr qilmoq, davom etmoq"
Wrath,kuchli qahr-g'azabz (Gaz) Kuclrli qatr-gazab bilaa
Expose,"ko'rsatmoq, namoyish qilmoq, oshkor qilmoq"
Resign,"bo'shamoq, mavqeini yo'qotmoq"
Drastic,"chuqur, radikal, mulohazali"
Wharf,bandargoh
f Ballot,"yashirin ovoz (berishni rejalshtirish, tashkillash va h.k.)"
Back off,"chekinish, yo'l berish, tormoz berish"
Back away,chetga chiqmoq
Be back,"qaltmoq, ortga qaytmoq"
Be out,"yo'q bo'lmoq, uyda bo'lmaslik"
Be oif,"keimoq, bo'sh bo'lmoq"
Be over,tugamoq
Be up,"uyg'onmoq, uyg'og bo'lmoq"
Be up to,"ahd qilmoq, (nimadir qilishga) harakat qilmoq"
Blow up,"portlamoq, o'zini yo'qotmoq"
Break in,"suhbatga aralashmoq, buzib kirmog"
Break down,"sinmoq, butunlay o'zini yo'qotmoq"
Break olT,rzrnoQr to'xtatmoq
Break into,"tashlanmoq, buzib kirmoq"
Break up,"to'xtatmoq, xayrlashmoq"
Break out,budb chiqib ketmoq
Burst out,qicbqirmoq
Calm down,ticnhlanmoq
Caii back,qaytib qo'ng'iroq qiiib yubormoq
Catch up,yetib olmoq
Cariy on,shug'ullanishda davom etinoq
Check in,ro'lxatdan o'tmoq
Check out,"tekshirmoq, aniqlashtirmoq"
Clean up,"tozalanmoq, tozalamoq, flg'ishtirmoq"
Come across,tasodifan uchratmoq
Come along,"birga ketmoq, kuzatib qo'ymoq"
Come back,qaytmoq
Come by,"kirmoq, kelmoq, olmoq"
Come riown,"yiqiimoq, pastga iushmoq"
Come forward,oldinga chiqib olmoq
Come from,nimadandir yuzaga kelmoq
Come on,Ketdik! Tugat! Tashla!
Come off,"ajramoq, tashlab ketmoq"
Come in,ichkariga kirmoq
Come over,"kelmoq, yaqin bormoq"
Come out,"chiqmoq, paydo bo'lmoq"
Come up,"paydo bo'lmoq, ko'tarilmoq, yaqinlashmoq"
Cut out,"qirqmoqn kesmoq, to'xiaimoq, kezib o'tmoq"
Cut off,"qirqib olmoq, uunoq"
Count on,"(nimagadur, kimgadur) mo'Ijallamoq"
End up,"tugatmoq, bo'lmoq, tushmoq"
Fall off,yiqilmoq
Faii down,quiamoq
Figure out,"tushunmoq, tushunib olmoq, oydinlashtirmoq"
Find out,"oydinlashtirmoq, aniqlashtirmoq, topmoq"
Get along,"kelishmoq, kelishib yashamoq, hamma ishlarni"
Get around,"yengib o'tmoq, eplamoq, aylanib o'tmoq"
Get back,qaltmoq
Get down,pastga tushmoq
Get in,ichkariga kirmoq
Get on,"(nimagadur) o'tirmoq, davom ettirmoq, kirishmoq"
Get over,"uddalamoq, tushunmoq, oshib o'tmoq"
Get through,"o'tmoq, eplamoq, nimadur orqali o'tmoq"
Get up,"turmoq, uyg'onmoq"
Give up,"tashlamoq, voz kechmoq"
Go aiong,"rozi bo'lmoq, qo'llab quvvatlamoq"
Go away,ketmoq
Go by,yonidan o'tib ketmoq
Go back,ortga qaytmoq
Go down,"pastga tushmoq, ketmoq"
Go off,"ketmoq, qochib ketmoq"
Go out,tashqariga chiqmoq
Go on,davom ettirmoq
Go through,"yaxshilab o'rganmoq, qaytarmoq, orqali o'tmoq"
Go over,"yaqiniashmoq, keimoq, qaytarmoq"
Go up,ko'tarilmoq
